Observations,T63,T62,T60,T58,T57,T56,T55,T50,T49,T48,T47,T46,T45,T44,T43,T42,T40,T38,T36,T34,T32,T31,T30,T29,T28,T27,T26,T25,T23,T22,T21,T20,T19,T18,T17,T16,T15,T14,T13,T12,T10,T09,T08,T07,T06,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79
signature 1,10.4655983,0,4.399782363,1.152871997,3.356846918,13.11116472,15.09202679,12.84488722,2.799752213,0,11.6219814,0.651339063,6.103003473,0,2.548344791,1.599765823,5.337812416,5.363950322,7.353527533,8.072332645,14.34702425,2.624661414,0.126062653,1.646929213,1.467265506,19.05946535,13.70072631,13.57493815,2.536658077,0,7.238699963,4.417283901,10.00804056,0,4.670582637,6.564150939,11.87964816,6.93090249,0,36.05120987,3.360237054,1.036336793,1.885779676,4.472406684,14.93677283,38.50064985,7.52599122,14.94955821,3.748439858,4.323723718,6.363417388,6.634078545,3.951688174,10.36998852,3.005676845,8.80506736,11.05166376,21.91328521,22.15986134,15.14335024
signature 2,14.17933872,4.999015694,17.30068803,9.546987384,5.25165059,9.223784817,6.011048283,12.03655793,1.745751762,0,31.91123125,13.20573376,6.900708111,0.014346507,3.343961924,17.46303862,19.13865364,11.01869022,6.652019263,16.37420354,13.72928425,3.234113593,9.692482119,0.007359083,5.204963706,5.996102169,16.02836191,10.28359728,6.672514564,6.751584123,11.30970094,17.69096654,24.36325499,14.03312919,13.56042509,22.32958814,1.441350071,22.35268825,4.554741268,22.41298087,2.944985313,0,0,7.294295555,8.230766503,348.8024752,27.3928119,14.37383538,0,12.35104503,32.32721341,26.51463642,16.46793814,20.20766033,19.69755629,23.2275955,18.66788194,6.311021813,9.417134717,7.118498681
signature 3,4.581223518,3.041631742,5.056660031,0.556893401,1.36491492,0.823417185,3.082748509,1.193817509,0.853648169,2.804475146,0.901414943,5.193820105,0.359013909,2.26153212,2.02585677,0,0.51752729,8.750189029,2.247889131,0.799089662,3.41259582,4.701351377,4.11297146,2.118666758,2.212318346,6.499688206,0,1.43140357,0,1.487638664,0,6.468234688,0.593661217,3.710695241,0.25515675,0,5.003013345,1.324142541,1.733849283,1.211524161,5.450671501,2.609294862,2.196736453,6.316082326,1.287885232,32.58530707,3.100940299,12.51619016,0.274647131,0,0,18.85225563,19.4553812,0.901934541,0,1.194128238,2.097520628,4.006917528,0,1.971243295
signature 4,25.05257858,4.869613951,19.50794755,12.32339186,0.045942467,31.02065049,43.42867212,49.02934498,2.147762234,5.200557422,56.30909198,33.44040967,6.754974605,11.32075794,48.41852627,14.15496564,40.85391003,1.730849035,7.970053387,28.33289676,22.4537856,9.479128894,18.05380849,2.934964058,24.30560278,18.77326961,25.62210387,31.16683945,22.56107337,9.179559669,22.21719568,45.82126282,13.56579561,50.17818259,40.37685884,31.19904253,24.63485605,21.16412432,2.422414934,31.84104785,15.82239769,0.009423941,2.810880023,31.38493135,48.68117166,222.5466078,40.73397193,38.10991305,13.49275528,56.94197382,57.01113381,50.22219748,10.86469351,12.41779628,33.88312052,34.17474741,13.91259242,49.86577544,33.08914819,21.99084374
signature 5,5.90421971,4.445543309,10.52800993,6.425055245,2.126877072,6.020552693,11.30849164,13.96021407,1.004689368,0.698018345,7.262300456,15.85528739,18.35193499,2.225772147,6.961263421,2.574082677,17.41997275,1.226800252,4.111071511,41.42633854,125.4430827,2.864133743,12.65605412,1.442488934,9.95333445,4.66594396,3.547140568,7.657396441,7.227861985,1.129750555,3.413750689,31.26995987,18.34482114,18.38535703,13.0707235,0.696850142,24.98894491,8.856975322,7.364682473,14.06383804,1.607498162,0.805358557,1.995287849,13.65691889,11.51753757,89.50695963,14.92735883,20.96060055,3.698060847,14.07407817,3.288538859,27.92875055,21.14540541,4.687972306,55.16093502,12.03288647,39.35062403,18.57835534,6.768679981,5.329672503
